filename,algorithm,amountofmoves,states,time
gameboards/testboard6x6.csv,IDDFS,10,741,2.4052
gameboards/testboard6x6.csv,IDDFS,10,741,2.3997
gameboards/testboard6x6.csv,IDDFS,10,741,2.4078
gameboards/testboard6x6.csv,IDDFS,10,741,2.3722
gameboards/testboard6x6.csv,IDDFS,10,741,2.3323
gameboards/testboard6x6.csv,IDDFS,10,741,2.3967
gameboards/testboard6x6.csv,BFS,8,1059,1.3784
gameboards/testboard6x6.csv,BFS,8,1059,1.4382
gameboards/testboard6x6.csv,BFS,8,1059,1.4228
gameboards/testboard6x6_copy.csv,IDDFS,1,5,4.0053
gameboards/testboard6x6_copy.csv,IDDFS,1,5,4.0077
gameboards/testboard6x6_copy.csv,IDDFS,2,9,12.0201
gameboards/testboard4x4.csv,BFS,3,55,0.0096
gameboards/testboard4x4.csv,BFS,3,55,0.0064
gameboards/testboard6x6.csv,BFS,8,11582,2.3185
gameboards/testboard4x4.csv,DFS,3,34,0.0045
gameboards/testboard4x4.csv,BFS,3,55,0.0062
gameboards/testboard4x4.csv,DFS,3,34,0.0041
gameboards/testboard4x4.csv,IDDFS,3,34,0.0041
gameboards/testboard6x6.csv,IDDFS,55,565,0.167
gameboards/testboard4x4.csv,IDDFS,3,34,0.0043
gameboards/testboard4x4.csv,DFS,3,34,0.0042
gameboards/testboard4x4.csv,IDDFS,3,34,0.0047
gameboards/testboard6x6_copy.csv,IDDFS,3,30,0.0039
gameboards/testboard6x6_copy.csv,IDDFS,29,290,0.053
gameboards/testboard6x6_copy.csv,BFS,3,1066,0.167
gameboards/testboard6x6_copy.csv,BFS,3,580,0.0849
gameboards/testboard6x6_copy.csv,BFS,4,635,0.0924
gameboards/testboard6x6_copy.csv,IDDFS,4,26,0.0044
gameboards/testboard6x6.csv,BFS,8,11582,2.4201
gameboards/testboard6x6.csv,IDDFS,55,565,0.1706
gameboards/testboard6x6.csv,DFS,55,565,0.2103
gameboards/testboard6x6.csv,DFS,55,565,0.172
gameboards/testboard4x4.csv,BFS,3,48,0.0057
gameboards/testboard4x4.csv,DFS,6,32,0.0032
gameboards/testboard4x4.csv,IDDFS,6,32,0.0033
gameboards/testboard4x4.csv,IDDFS,3,34,0.0035
gameboards/testboard6x6.csv,IDDFS,55,565,0.1308
gameboards/testboard6x6_copy.csv,IDDFS,4,26,0.004
gameboards/testboard6x6_copy.csv,IDDFS,99,1166,0.2753
